NM,pick/win,HD,pick/win,HR,pick/win
S3RL - Bass Slut (Original Mix),,Chata - Miren,,THIS IS PARALLEL WORLD? - THIS IS MY LAST VOICE,br
"Cranky - Feline, the White...",,petit milady - Ma Cherie,rr,S3RL - Scary Movie,
EYE_XY feat. Yoneko - Knight of Firmament,,Neko Jump - Poo (TV Size),,Jimmy Weckl - Get Happy,
Camellia feat. Nanahira - Hakuraku,rb,,,,
Nanahoshi - Dance Number o Tomo ni,,DT,,FM,
Syaro(CV.Uchida Maaya) - Caffeine Fighter,,fumika - Umikaze no Brave,,"cillia - Fairytale,",
Tsunamaru - Daidai Genome,,Tatsh - Cruel Moon,,a crowd of rebellion - M1917,
,,Hashimoto Miyuki - Symphonic Love (Short Ver.),bb,Gojou Mayumi - DANZEN! Futari wa PreCure,
TB,,A Zhong Bu Dai Xi - Gu Niang De Jiu Wo,,,
Maduk - Liquicity Yearmix 2015,bb,,,,
